idx,code,pos,school,rom_n,rom_c,rom_f,mat_n,mat_c,mat_f,mat_lang,mat_lang_n,mat_lang_c,mat_lang_f,media
1153,SB9538853,1153,"LICEUL TEORETIC ""CONSTANTIN NOICA"" SIBIU",7.85,8.35,8.35,7.20,-,-,-,-,-,-,7.77
1154,SB10425721,1154,"LICEUL TEORETIC ""CONSTANTIN NOICA"" SIBIU",7.80,8.20,8.20,7.35,-,-,-,-,-,-,7.77
1155,SB10002205,1155,"ŞCOALA GIMNAZIALĂ ""ION LUCA CARAGIALE"" SIBIU",7.75,-,-,7.80,-,-,-,-,-,-,7.77
1156,SB10600601,1156,ŞCOALA GIMNAZIALĂ NR. 3 CISNĂDIE,7.75,-,-,7.80,-,-,-,-,-,-,7.77
1157,SB9187568,1157,"ŞCOALA GIMNAZIALĂ ""NICOLAE IORGA"" SIBIU",7.60,7.90,7.90,7.65,-,-,-,-,-,-,7.77
1158,SB9805093,1158,"ŞCOALA GIMNAZIALĂ ""IOAN SLAVICI"" SIBIU",7.40,-,-,8.15,-,-,-,-,-,-,7.77
1159,SB10421618,1159,"LICEUL TEORETIC ""CONSTANTIN NOICA"" SIBIU",6.60,6.50,6.50,9.05,-,-,-,-,-,-,7.77
1160,SB10328948,1160,"ŞCOALA GIMNAZIALĂ ""CONSTANTIN IOAN MOTAŞ"" MEDIAŞ",8.65,-,-,6.85,-,-,-,-,-,-,7.75
1161,SB8545506,1161,ŞCOALA GIMNAZIALĂ NR. 7 MEDIAŞ,8.60,-,-,6.90,-,-,-,-,-,-,7.75
1162,SB9975074,1162,"LICEUL TEHNOLOGIC ""IOAN LUPAŞ"" SĂLIŞTE",8.40,-,-,7.10,-,-,-,-,-,-,7.75
1163,SB7905046,1163,"ŞCOALA GIMNAZIALĂ ""IOAN BAN - DASCĂLU"" POIANA SIBIULUI",8.05,-,-,7.45,-,-,-,-,-,-,7.75
1164,SB9933305,1164,"ŞCOALA GIMNAZIALĂ ""CONSTANTIN IOAN MOTAŞ"" MEDIAŞ",8.05,-,-,7.45,-,-,-,-,-,-,7.75
1165,SB9094000,1165,"ŞCOALA GIMNAZIALĂ ""OCTAVIAN GOGA"" RĂŞINARI",7.85,-,-,7.65,-,-,-,-,-,-,7.75
1166,SB11072323,1166,ŞCOALA GIMNAZIALĂ NR. 13 SIBIU,7.80,-,-,7.70,-,-,-,-,-,-,7.75
